"NOAA.ID","study.name","early.year","recent.year","lat","long","elev"
"5197","MEXI030",1780,1999,25.27,-100.48,3300
"5210","WY029",1484,1999,44.18,-108.72,1474
"5211","WY028",1459,2000,43.43,-109.55,2696
"5280","CO589",1319,1999,38.73,-106.8,2926
"5283","CO592",1550,2000,40.42,-105.28,1890
"5289","CO593",1372,2002,38.08,-107,2895
"5295","CO597",1372,2002,39.6,-105.9,2880
"5296","CO599",1382,2000,39.6,-108.8,2591
"5299","CO603",1541,2002,39.93,-105.27,1889
"5301","WY031",1380,2001,41.15,-106.78,2500
"5304","CO604",1378,2000,39.85,-106.23,2514
"5305","CO606",1571,1999,40.07,-106.13,2499
"5310","CO580",1135,1999,39,-108.15,2987
"5311","CO572",894,1998,40.32,-105.55,2800
"5313","CO609",1541,1997,38.85,-106.02,2743
"5319","CO613",1486,2001,40.92,-106.33,2469
"5321","CO619",1192,2000,40.02,-105.52,2746
"5326","CO617",1169,2002,38.8,-106.23,2956
"5329","CO620",1525,2000,38.53,-107.22,2835
"5335","CO624",1275,2000,38.4,-106.43,2621
"5336","CO581",1539,1999,40.75,-106.85,2377
"5343","CO628",1480,1997,38.33,-105.27,2465
"5346","CO566",1534,1998,39.07,-104.43,2170
"5347","CO630",1454,1999,40.03,-106.07,2865
"5349","CO632",1336,1997,37.9,-105.15,2690
"5351","AZ557",1321,1998,32.45,-110.78,2550
"5396","AZ505",1693,1975,36.42,-112,2745
"5402","CANA163",-366,-100,48.53,-123.47,120
"5403","CANA164",-807,-670,48.53,-123.47,120
"5404","CANA165",-1017,-830,48.53,-123.47,120
"5405","CANA166",-1745,-1360,48.53,-123.47,120
"5406","CANA167",-1863,-1530,48.53,-123.47,120
"8517","NM580",-136,2004,34.97,-108.18,2375
"8546","MEXI044",1561,2000,17.17,-96.63,2550
"8547","MEXI045",1474,2004,19.17,-97.32,3154
"8586","MEXI046",1774,2000,17.18,-96.62,2592
"9678","NM583",1295,2007,36.35,-106.52,2042
"9697","NM584",644,2007,36.2833,-106.6166,2525
"9699","NM586",1298,2007,35.9167,-106.6833,2561
"9700","NM587",1304,2007,35.88,-106.67,2560
