"long","lat","study.id","variable","year","jan","feb","mar","apr","may","june","july","aug","sep","oct","nov","dec"
-107.013,25.934,"MEXI056","ppt",1901,39,91,14,12,17,75,329,249,187,96,21,43
-108.264,28.622,"MEXI057","ppt",1901,15,28,8,4,8,26,177,102,70,77,11,9
-103.919,25.234,"MEXI058","ppt",1901,14,10,3,3,15,41,85,103,51,21,4,9
-100.492,25.275,"MEXI063","ppt",1901,9,12,5,18,27,47,83,34,86,15,18,7
-102.358,27.038,"MEXI064","ppt",1901,8,8,4,22,27,28,52,37,63,18,10,6
-100.372,25.238,"MEXI065","ppt",1901,8,11,4,19,26,51,73,35,98,15,14,5
-105.538,25.418,"MEXI068","ppt",1901,12,60,6,4,12,69,261,177,131,54,7,26
-106.074,25.053,"MEXI069","ppt",1901,15,178,5,3,10,92,360,261,175,70,8,70
-105.108,24.609,"MEXI070","ppt",1901,6,122,2,2,6,87,339,221,161,44,4,43
-104.841,23.453,"MEXI071","ppt",1901,4,168,1,1,3,106,387,303,232,44,2,70
-105.437,23.661,"MEXI073","ppt",1901,3,258,1,0,1,147,464,325,267,63,1,104
-106.082,26.394,"MEXI074","ppt",1901,13,36,6,6,15,47,204,134,113,77,6,10
-106.343,26.183,"MEXI075","ppt",1901,20,45,8,8,12,52,206,156,128,79,10,16
-105.738,25.076,"MEXI076","ppt",1901,8,51,3,1,2,73,310,209,137,42,3,39
-105.588,23.756,"MEXI077","ppt",1901,2,137,0,0,0,116,414,257,200,54,1,73
-106.356,25.951,"MEXI078","ppt",1901,23,35,6,6,6,48,174,162,135,78,14,22
-104.536,23.495,"MEXI079","ppt",1901,4,64,1,1,3,82,225,192,137,27,3,29
-106.383,25.15,"MEXI080","ppt",1901,20,246,6,3,8,102,398,281,184,76,12,93
-105.954,25.559,"MEXI082","ppt",1901,17,74,7,5,13,68,237,177,133,59,11,31
-105.919,24.318,"MEXI083","ppt",1901,4,232,1,0,1,127,438,312,210,45,2,88
-104.096,23.398,"MEXI084","ppt",1901,5,27,1,1,5,81,184,169,116,28,4,17
-105.041,23.541,"MEXI085","ppt",1901,4,150,1,0,2,108,337,262,200,45,2,69
-106.341,25.571,"MEXI086","ppt",1901,26,112,10,6,13,77,257,202,138,65,16,45
-98.717,20.204,"MEXI089","ppt",1901,0,51,4,18,32,65,132,172,216,42,54,3
-99.841,23.817,"MEXI095","ppt",1901,20,18,15,19,54,107,109,65,145,47,27,18
-97.779,19.519,"MEXI097","ppt",1901,0,47,3,19,38,48,96,140,135,27,33,2
-97.323,19.13,"MEXI098","ppt",1901,0,65,4,18,39,70,181,235,219,32,52,5
-97.893,19.554,"MEXI100","ppt",1901,0,42,3,19,36,47,93,140,125,25,31,2
-97.917,19.532,"MEXI101","ppt",1901,0,42,3,20,38,47,96,149,126,24,28,2
-103.953,23.218,"MEXI104","ppt",1901,6,25,1,1,5,90,193,179,117,30,3,21
-110.685,32.377,"AZ566","ppt",1901,88,96,43,8,14,0,127,90,24,46,17,6
-109.32,33.8,"AZ568","ppt",1901,56,56,32,15,29,1,119,64,24,54,29,28
-110.298,32.627,"AZ571","ppt",1901,61,67,28,5,20,0,102,64,20,50,14,9
-110.84,31.726,"AZ573","ppt",1901,85,105,43,10,7,0,266,127,39,74,21,4
-110.839,31.723,"AZ574","ppt",1901,89,110,46,10,7,0,277,131,41,78,22,4
-109.819,32.622,"AZ579","ppt",1901,71,72,29,7,16,1,184,99,31,67,24,14
-109.263,31.924,"AZ580","ppt",1901,51,51,26,9,10,4,203,122,27,73,35,4
-110.283,32.586,"AZ581","ppt",1901,58,60,31,5,22,0,104,66,20,54,15,9
-113.9,35.09,"AZ582","ppt",1901,12,48,11,1,13,0,18,36,0,14,11,0
-109.33,32,"AZ583","ppt",1901,39,46,22,6,6,2,137,89,18,55,24,3
-110.78,32.45,"AZ584","ppt",1901,117,152,56,11,17,0,151,140,25,60,28,8
-110.52,32.12,"AZ586","ppt",1901,64,77,31,6,11,0,175,98,28,55,17,4
-110.784,32.442,"AZ587","ppt",1901,118,159,58,11,17,0,161,152,27,60,29,9
-110.355,31.461,"AZ588","ppt",1901,62,66,25,5,7,1,159,87,23,48,16,4
-110.5333,36.6833,"AZ589","ppt",1901,17,38,9,10,11,2,13,53,2,21,6,13
-109.381,33.992,"AZ590","ppt",1901,75,85,51,27,31,1,127,72,22,52,40,37
-111.52,35.17,"AZ591","ppt",1901,36,83,17,5,31,1,47,45,2,41,17,3
-109.922,32.712,"AZ593","ppt",1901,93,85,32,8,19,0,247,120,41,79,28,22
-108.23,39.02,"CO655","ppt",1901,45,48,73,66,66,28,14,80,2,36,15,34
-108.259,33.355,"NM590","ppt",1901,16,46,10,6,17,2,99,67,32,58,37,6
-107.801,36.996,"NM592","ppt",1901,24,25,21,22,35,7,20,40,14,24,9,15
-106.526,36.357,"NM593","ppt",1901,17,17,14,21,39,7,59,56,25,24,16,5
-107.765,32.914,"NM594","ppt",1901,18,59,20,9,8,10,134,81,29,85,74,1
-108.702,34.069,"NM596","ppt",1901,18,39,13,10,21,1,95,50,27,56,26,13
-108.958,33.733,"NM599","ppt",1901,35,42,16,12,18,1,100,57,23,57,34,17
-107.167,33.984,"NM600","ppt",1901,12,27,7,13,22,4,83,64,71,61,44,3
-106.564,32.349,"NM601","ppt",1901,16,45,15,13,4,11,98,40,32,107,78,1
-107.32,36.701,"NM602","ppt",1901,16,18,15,18,32,8,23,38,19,19,9,10
-107.5,35.25,"NM606","ppt",1901,40,54,20,27,41,5,91,64,62,54,65,10
-108.13,35.6,"NM608","ppt",1901,21,22,8,12,27,5,46,44,19,26,18,6
-105.8,32.8,"NM609","ppt",1901,21,84,28,14,13,19,122,53,45,103,93,6
-108.216,33.407,"NM611","ppt",1901,16,49,11,7,20,3,98,73,41,64,40,7
-108.1,34.97,"NM615","ppt",1901,17,24,9,10,30,4,55,53,26,30,24,7
-105.796,34.244,"NM616","ppt",1901,17,45,7,16,30,9,71,46,50,49,62,6
-104.85,31.9,"TX056","ppt",1901,11,52,10,10,15,35,129,49,67,115,54,4
-110.02,37.62,"UT544","ppt",1901,11,26,11,11,16,3,13,52,1,21,3,12
-123.197,48.588,"WA149","ppt",1901,114,87,47,66,39,35,8,0,37,62,206,107
-110.35,31.45,"AZ556","ppt",1901,60,63,23,5,7,1,154,86,22,48,15,4
-109.92,32.72,"AZ559","ppt",1901,96,84,34,8,19,0,242,122,41,83,30,23
-111.9,40.8,"UT523","ppt",1901,68,148,108,59,152,16,13,61,21,84,49,118
-113.94,49.81,"CANA562","ppt",1901,44,61,48,49,79,111,60,18,71,12,31,56
-114.2,49.9,"CANA563","ppt",1901,44,66,54,61,82,117,64,22,65,12,26,51
-113.9,49.01,"CANA565","ppt",1901,67,70,58,52,111,126,36,12,127,22,60,62
-114.3,49.89,"CANA566","ppt",1901,38,60,48,53,72,109,54,17,60,9,25,41
-114.1833,50.0167,"CANA567","ppt",1901,43,55,52,56,78,122,58,17,64,11,29,49
-114.1,49.4,"CANA568","ppt",1901,62,71,51,58,106,135,46,13,105,16,48,54
-114,49.7,"CANA570","ppt",1901,36,45,39,37,68,113,53,14,68,9,29,41
-114.2,50,"CANA571","ppt",1901,48,56,57,62,82,126,58,17,67,13,32,56
-113.9,49.07,"CANA572","ppt",1901,65,67,55,48,105,125,36,12,125,21,58,58
-113.45,49.14,"CANA576","ppt",1901,35,37,37,37,97,112,32,11,100,10,30,34
-114.25,50.3333,"CANA579","ppt",1901,36,44,53,59,82,166,64,15,70,11,27,40
-114.3,51.2,"CANA580","ppt",1901,15,22,28,33,62,133,82,16,74,7,17,25
-114.14,50.09,"CANA582","ppt",1901,42,53,54,57,82,139,59,16,67,11,29,49
-114.18,49.89,"CANA583","ppt",1901,41,64,51,56,78,112,61,21,63,11,26,47
-114.1,49.9,"CANA584","ppt",1901,41,63,51,55,78,110,64,18,65,11,28,49
-119.86,49.427,"CANA588","ppt",1901,53,42,22,34,30,59,20,3,49,14,65,33
-119.46,49.74,"CANA589","ppt",1901,57,50,22,33,34,68,25,4,70,14,65,34
-106.8,38.73,"CO658","ppt",1901,46,37,59,46,54,29,20,64,12,24,14,35
-106.87,39.65,"CO662","ppt",1901,16,11,21,30,30,21,16,38,3,15,5,20
-104.933333,39.066667,"CO665","ppt",1901,13,14,60,101,109,54,35,75,17,17,4,27
-108.15,39,"CO667","ppt",1901,59,63,92,82,74,31,16,98,3,41,19,45
-106.38333,38.45,"CO668","ppt",1901,62,52,73,67,85,26,21,58,15,31,11,50
-106.33,40.92,"CO671","ppt",1901,20,43,41,58,55,32,17,31,13,18,5,64
-114.26,43.82,"ID021","ppt",1901,104,155,61,43,36,21,3,11,31,58,32,147
-112.35,42.67,"ID022","ppt",1901,98,171,66,93,77,10,19,54,28,80,28,213
-114.25,44.42,"ID023","ppt",1901,11,17,14,22,25,21,2,9,23,10,9,21
-108.6167,45.0167,"MT140","ppt",1901,4,14,23,22,105,42,14,30,23,9,9,24
-114.25,48.9833,"MT142","ppt",1901,144,143,81,60,143,177,60,14,129,33,117,116
-109.6,48.1,"MT143","ppt",1901,24,17,23,38,112,96,45,7,70,8,16,64
-109.5,48.25,"MT145","ppt",1901,18,13,15,43,134,85,46,10,67,8,15,45
-109.7,48.2,"MT146","ppt",1901,38,25,39,47,162,110,55,10,94,12,23,96
-112.78,44.67,"MT147","ppt",1901,12,22,27,54,69,43,7,27,44,17,12,28
-110.2,46.0333,"MT149","ppt",1901,20,19,40,48,161,66,20,22,69,8,18,55
-109.406,45.045,"MT150","ppt",1901,34,41,71,67,183,56,14,37,65,19,29,83
-112.35,45.83,"MT151","ppt",1901,9,18,31,45,88,48,7,14,53,7,9,28
-110.57746,47.49649,"MT154","ppt",1901,34,28,48,77,179,131,39,9,138,8,22,72
-113.6167,48.3833,"MT155","ppt",1901,174,138,103,82,155,136,37,10,143,26,103,163
-110.5232,46.97787,"MT156","ppt",1901,22,22,37,53,144,88,32,12,71,5,13,69
-113.5167,48.7,"MT159","ppt",1901,151,140,99,68,143,132,47,10,123,26,107,145
-111.8,46.72,"MT160","ppt",1901,10,7,15,35,82,55,14,6,51,3,3,20
-110.56,47.46,"MT161","ppt",1901,31,26,45,73,176,129,39,9,131,8,20,69
-110.99,46.86,"MT162","ppt",1901,22,20,32,43,126,79,27,10,76,4,10,68
-110.6714,46.4715,"MT163","ppt",1901,40,42,50,65,148,61,24,14,63,6,21,145
