"","NOAA.ID","study.name","early.year","recent.year","lat","long","elev","flag"
"1",1000016,"MEXI022",1500,1980,26.4,-106.08,3170,"include"
"2",1000017,"MEXI023",1500,1980,26.4,-106.08,3170,"include"
"3",1000020,"MT110",1200,1987,45.3,-111.33,2500,"include"
"4",1000024,"MT114",1200,1987,45.3,-111.32,2500,"include"
"5",1000038,"NM572",1200,1987,34.97,-108.1,2423,"include"
"6",1000113,"WA047",1500,1980,48.05,-121.4,805,"include"
"7",1000116,"WA086",1500,1980,47.83,-123.03,867,"include"
"8",1000117,"WA088",1500,1980,48,-124,267,"include"
"9",1000118,"WA090",1500,1980,47.88,-121.33,967,"include"
"10",1000120,"WY027",1200,1987,44.98,-110.67,2179,"include"
"11",1000174,"CO572",1200,1987,40.32,-105.55,2800,"include"
"12",1000176,"CO580",1200,1987,39,-108.15,2987,"include"
"13",1000179,"CO617",1200,1987,38.8,-106.23,2956,"include"
"14",1000180,"CO619",1200,1987,40.02,-105.52,2746,"include"
"15",12618,"CO644",379,2004,39.65,-106.8667,1950,"include"
"16",12619,"CO646",602,2004,39.85,-106.23,2514,"include"
"17",12620,"CO647",1230,2005,37.2,-108.5,2134,"include"
"18",12695,"MT118",1455,2003,48.9167,-113.75,1672,"include"
"19",12699,"MT122",1163,2002,48.5167,-113.3667,1950,"include"
"20",12700,"MT123",1564,2001,48.4833,-113.3667,1636,"include"
"21",12701,"MT124",1509,2001,47.9167,-112.7333,1678,"include"
"22",12702,"MT125",1602,2009,46.2667,-110.5333,1800,"include"
"23",12738,"UT529",350,2005,37.9333,-109.8,2431,"include"
"24",12739,"UT530",-322,2005,39.6,-110.333,2134,"include"
"25",12755,"WY039",1477,2007,44.9333,-109.65,2591,"include"
"26",12756,"WY040",1194,2000,44.1833,-108.7167,1474,"include"
"27",12759,"WY043",1576,2006,42.85,-109.6333,2431,"include"
"28",12760,"WY045",1507,2006,42.9667,-109.7667,2430,"include"
"29",13759,"CANA327",1576,2007,52.19,-116.44,1320,"include"
"30",13763,"CANA331",1555,2008,52.072,-116.388,1420,"include"
"31",13764,"CANA332",1482,2004,49.9,-114.2,1661,"include"
"32",13765,"CANA333",1375,2004,49.7,-114,1395,"include"
"33",13766,"CANA334",1572,2004,50,-114.2,1677,"include"
"34",13768,"CANA336",1203,2007,49.9,-114.2,1331,"include"
"35",13769,"CANA337",1597,2003,51.13,-114.98,1320,"include"
"36",13770,"CANA338",1341,2004,51.3,-114.7,1351,"include"
"37",13771,"CANA339",1525,2004,49.9,-114.1,1575,"include"
"38",13775,"CANA343",1618,2004,49.9,-114.4,1648,"include"
"39",13777,"CANA346",1734,2003,49.9667,-114.0833,1706,"include"
"40",13778,"CANA347",1509,2004,49.9,-114.2,1602,"include"
"41",13781,"CANA350",1496,2007,52.06,-116.43,1560,"include"
"42",14324,"AZ557",1500,1980,32.45,-110.78,2550,"include"
"43",16486,"CA682",1900,2009,40,-121,NA,"include"
"44",16582,"CANA426",1534,2008,52.9167,-118.05,1220,"include"
"45",16583,"CANA427",1749,2008,52.9333,-118.0667,1230,"include"
"46",16585,"CANA428",1749,2006,52.9167,-118.0667,1200,"include"
"47",16586,"CANA429",1693,2006,52.8833,-118.1167,1220,"include"
"48",16813,"UT536",1370,2012,41.35,-111.9667,2133,"include"
"49",16814,"UT537",1133,2011,41.3667,-111.95,2750,"include"
"50",16815,"UT538",1274,2010,41.91,-111.65,2730,"include"
"51",17254,"ID017",1673,2009,48.37,-116.79,903,"include"
"52",17256,"MT129",1690,2006,47.3333,-114.8667,1340,"include"
"53",17257,"MT130",1307,2008,46.8167,-114.25,NA,"include"
"54",17258,"MT131",1665,2008,46.65,-113.6333,1371,"include"
"55",17259,"MT132",1611,2006,46.8557,-114.6855,1160,"include"
"56",17260,"MT133",1674,2009,46.7667,-111.7667,1650,"include"
"57",18199,"MT134",1799,2009,46.0833,-110.8167,1650,"include"
"58",18961,"OR096",1838,2013,44.4333,-121.95,1139,"include"
"59",19079,"CO651",722,2011,37.2739,-108.3478,2226,"include"
"60",19080,"CO652",480,2011,37.2739,-108.3478,2226,"include"
"61",19967,"WY052",1076,2007,43.5727,-110.2094,2457,"include"
"62",19970,"WY055",1584,2006,43.3042,-110.6711,1997,"include"
"63",20830,"MEXI050",1880,2010,28.018,-107.817,2285,"include"
"64",20831,"MEXI051",1669,2002,28.122,-107.95,2781,"include"
"65",20832,"MEXI052",1774,2010,29.322,-108.211,2740,"include"
"66",20834,"MEXI053",1715,2010,28.085,-107.86,2420,"include"
"67",20835,"MEXI054",1774,2001,29.308,-108.192,2820,"include"
"68",20839,"MEXI055",1598,2008,30.543,-108.619,2665,"include"
"69",20840,"MEXI056",1657,2005,25.934,-107.013,2950,"include"
"70",20850,"MEXI057",1534,2012,28.622,-108.264,1920,"include"
"71",20851,"MEXI058",1700,2001,25.234,-103.919,2990,"include"
"72",20856,"MEXI063",1776,2001,25.275,-100.492,NA,"include"
"73",20857,"MEXI064",1780,2003,27.038,-102.358,2050,"include"
"74",20858,"MEXI065",1680,2007,25.238,-100.372,2139,"include"
"75",20862,"MEXI068",1709,2004,25.418,-105.538,2790,"include"
"76",20863,"MEXI069",1770,2008,25.053,-106.074,3039,"include"
"77",20864,"MEXI070",1675,2001,24.609,-105.108,3170,"include"
"78",20866,"MEXI071",1681,2001,23.453,-104.841,2980,"include"
"79",20868,"MEXI073",1650,2004,23.661,-105.437,2700,"include"
"80",20869,"MEXI074",1436,2006,26.394,-106.082,3180,"include"
"81",20870,"MEXI075",1418,2005,26.183,-106.343,2900,"include"
"82",20871,"MEXI076",1552,2006,25.076,-105.738,1631,"include"
"83",20872,"MEXI077",1680,2007,23.756,-105.588,1736,"include"
"84",20873,"MEXI078",1449,2002,25.951,-106.356,1950,"include"
"85",20874,"MEXI079",1770,2012,23.495,-104.536,2300,"include"
"86",20875,"MEXI080",1651,1993,25.15,-106.383,2500,"include"
"87",20877,"MEXI082",1693,2003,25.559,-105.954,2730,"include"
"88",20878,"MEXI083",1573,2007,24.318,-105.919,1284,"include"
"89",20880,"MEXI084",1835,2009,23.398,-104.096,2580,"include"
"90",20881,"MEXI085",1875,2012,23.541,-105.041,2408,"include"
"91",20882,"MEXI086",1724,2003,25.571,-106.341,2580,"include"
"92",20895,"MEXI089",1905,2001,20.204,-98.717,2319,"include"
"93",20902,"MEXI095",1450,2013,23.817,-99.841,3200,"include"
"94",20905,"MEXI097",1902,2010,19.519,-97.779,2840,"include"
"95",20906,"MEXI098",1656,2010,19.13,-97.323,3010,"include"
"96",20908,"MEXI100",1690,2009,19.554,-97.893,2767,"include"
"97",20909,"MEXI101",1719,2007,19.532,-97.917,2845,"include"
"98",20912,"MEXI104",1834,2001,23.218,-103.953,2758,"include"
"99",22116,"AZ566",1698,2009,32.377,-110.685,1877,"include"
"100",22118,"AZ568",1565,2008,33.8,-109.32,2438,"include"
"101",22123,"AZ571",1652,2008,32.627,-110.298,2074,"include"
"102",22125,"AZ573",1628,2008,31.726,-110.84,2278,"include"
"103",22126,"AZ574",1490,2008,31.723,-110.839,2385,"include"
"104",22129,"AZ579",1626,2008,32.622,-109.819,2667,"include"
"105",22130,"AZ580",1608,2010,31.924,-109.263,2316,"include"
"106",22131,"AZ581",1605,2008,32.586,-110.283,2252,"include"
"107",22132,"AZ582",1797,2008,35.09,-113.9,2300,"include"
"108",22133,"AZ583",1618,2010,32,-109.33,1828,"include"
"109",22135,"AZ584",1150,1998,32.45,-110.78,2550,"include"
"110",22136,"AZ586",1591,2008,32.12,-110.52,2200,"include"
"111",22151,"AZ587",1536,2009,32.442,-110.784,2746,"include"
"112",22152,"AZ588",1630,2009,31.461,-110.355,1812,"include"
"113",22153,"AZ589",340,2008,36.6833,-110.5333,NA,"include"
"114",22154,"AZ590",1458,2008,33.992,-109.381,2969,"include"
"115",22155,"AZ591",1645,2010,35.17,-111.52,2057,"include"
"116",22157,"AZ593",1464,2008,32.712,-109.922,3014,"include"
"117",22175,"CO655",1000,2002,39.02,-108.23,2636,"include"
"118",22316,"NM590",1304,2008,33.355,-108.259,2489,"include"
"119",22318,"NM592",1610,2008,36.996,-107.801,2036,"include"
"120",22319,"NM593",1295,2008,36.357,-106.526,2029,"include"
"121",22320,"NM594",1801,2009,32.914,-107.765,2540,"include"
"122",22322,"NM596",1591,2009,34.069,-108.702,2707,"include"
"123",22325,"NM599",1665,2009,33.733,-108.958,2600,"include"
"124",22326,"NM600",622,2008,33.984,-107.167,3044,"include"
"125",22327,"NM601",1597,2009,32.349,-106.564,2475,"include"
"126",22329,"NM602",1643,2009,36.701,-107.32,2005,"include"
"127",22333,"NM606",785,1995,35.25,-107.5,NA,"include"
"128",22335,"NM608",1313,2008,35.6,-108.13,2286,"include"
"129",22336,"NM609",1627,2008,32.8,-105.8,2865,"include"
"130",22339,"NM611",1669,2008,33.407,-108.216,2532,"include"
"131",22343,"NM615",0,2004,34.97,-108.1,2423,"include"
"132",22344,"NM616",1616,2008,34.244,-105.796,2439,"include"
"133",22362,"TX056",1362,2008,31.9,-104.85,2438,"include"
"134",22366,"UT544",1347,2009,37.62,-110.02,1859,"include"
"135",26250,"WA149",1650,2011,48.588,-123.197,35,"include"
"136",2658,"AZ556",1630,1995,31.45,-110.35,1750,"include"
"137",2659,"AZ559",1571,2001,32.72,-109.92,3020,"include"
"138",2718,"UT523",1702,1862,40.8,-111.9,2835,"include"
"139",27382,"CANA562",1615,2006,49.81,-113.94,1590,"include"
"140",27383,"CANA563",1579,2004,49.9,-114.2,1685,"include"
"141",27385,"CANA565",1759,2005,49.01,-113.9,1300,"include"
"142",27386,"CANA566",1525,2012,49.89,-114.3,1450,"include"
"143",27387,"CANA567",1442,2004,50.0167,-114.1833,1540,"include"
"144",27388,"CANA568",1627,2004,49.4,-114.1,1570,"include"
"145",27390,"CANA570",1377,2004,49.7,-114,1395,"include"
"146",27391,"CANA571",1613,2004,50,-114.2,1675,"include"
"147",27392,"CANA572",1450,2005,49.07,-113.9,1285,"include"
"148",27395,"CANA576",1738,2009,49.14,-113.45,1260,"include"
"149",27398,"CANA579",1340,2004,50.3333,-114.25,1500,"include"
"150",27399,"CANA580",1575,2003,51.2,-114.3,1575,"include"
"151",27401,"CANA582",1708,2005,50.09,-114.14,1540,"include"
"152",27402,"CANA583",1567,2013,49.89,-114.18,1570,"include"
"153",27403,"CANA584",1552,2004,49.9,-114.1,1575,"include"
"154",27431,"CANA588",1579,2007,49.427,-119.86,NA,"include"
"155",27432,"CANA589",1619,2008,49.74,-119.46,NA,"include"
"156",27439,"CO658",1319,2013,38.73,-106.8,2926,"include"
"157",27456,"CO662",203,2004,39.65,-106.87,1951,"include"
"158",27459,"CO665",1561,2003,39.066667,-104.933333,2410,"include"
"159",27461,"CO667",380,2004,39,-108.15,2987,"include"
